Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50
0,0,7,0,28,0,1,1,30000,0,0,20,1,1,1,2,3,7,3,1,0,1,0,70000,6,-1,3,0,0,1,0,100000,1,1,30,100,80,80,50,50,80,80,50,20000,1,0,0,4,0 ,0,4
1,1,7,0,35,0,1,3,190000,1,2,90,1,3,1,2,5,5,2,1,1,1,0,300000,3,0,2,1,0,1,0,500000,1,1,30,35,30,40,60,40,30,70,70,100000,3,0,2,1,0 ,0,1
0,1,7,1,64,0,1,1,0,0,0,93,1,1,1,2,5,5,3,1,1,0,0,170000,4,0,1,1,0,1,0,35000,1,0,80,70,80,75,70,80,85,80,70,0,1,1,0,3,0 ,0,0
0,1,7,0,47,0,1,2,100000,0,0,104,1,2,1,2,5,5,5,1,1,1,0,200000,3,0,1,1,0,1,0,350000,0,1,60,80,60,70,70,70,80,80,50,80000,3,1,2,3,1 ,0,3
1,1,7,0,33,1,1,2,240000,1,2,99,1,3,1,2,8,8,4,1,1,1,0,500000,3,0,4,1,0,-1,0,300000,1,0,80,80,80,85,70,70,60,80,90,150000,2,0,2,0,0 ,0,0
1,1,7,0,37,0,1,2,60000,1,2,67,1,2,1,2,6,7,3,1,1,0,0,100000,2,-1,1,1,0,1,0,100000,0,0,60,60,60,60,60,60,60,60,60,60000,3,0,2,3,0 ,0,0
1,1,7,1,25,0,1,2,55000,1,2,65,1,2,1,2,5,8,3,1,0,0,0,100000,2,-1,1,0,0,0,0,100000,1,1,80,70,60,70,70,80,70,70,70,40000,2,0,0,4,0 ,0,4
1,1,7,1,41,0,1,2,50000,0,0,80,1,2,1,2,5,5,5,1,1,0,0,150000,2,1,2,1,0,1,0,200000,1,1,70,60,0,50,50,50,50,50,50,50000,2,1,2,3,0 ,0,3
0,1,7,1,66,0,1,1,30000,0,0,44,1,3,1,2,2,2,6,1,1,0,0,80000,2,0,1,0,0,1,-1,60000,0,0,50,30,60,60,40,40,60,40,40,65000,2,0,0,3,0 ,0,2
1,1,7,0,37,0,1,2,150000,0,0,60,1,1,1,2,5,7,5,1,1,0,0,150000,2,0,2,0,0,0,0,300000,0,1,60,50,50,60,59,50,59,60,70,100000,3,1,0,3,0 ,0,3
1,0,7,0,29,0,1,1,50000,0,0,20,1,3,1,4,5,7,4,1,0,0,0,80000,4,-1,2,1,0,1,0,150000,1,1,30,0,30,30,30,30,50,50,40,0,1,0,0,3,0 ,0,1
1,1,7,0,36,0,1,2,100000,1,2,99,1,2,1,2,5,7,1,0,0,1,0,200000,3,-1,1,1,0,1,0,200000,0,0,60,60,50,60,60,60,60,60,50,100000,2,0,0,3,0 ,0,3
1,1,7,0,54,0,1,1,50000,0,0,57,0,2,1,2,3,3,6,1,1,0,0,140000,1,0,2,0,0,1,0,80000,1,0,50,30,50,30,50,50,50,50,30,40000,1,0,0,3,0 ,0,0
0,1,7,0,52,0,1,1,30000,0,0,51,0,1,1,1,1,5,1,1,1,0,0,60000,2,-2,1,0,0,2,-1,50000,1,1,100,90,80,60,80,90,60,80,70,30000,1,0,2,3,0 ,0,0
1,1,7,1,75,0,1,2,0,1,2,57,0,0,1,2,5,5,10,1,1,0,0,86400,2,1,1,0,0,1,1,48000,1,1,80,80,85,70,80,75,75,80,70,0,2,0,2,3,0 ,0,0
1,1,7,0,43,0,1,1,200000,0,0,89,0,2,1,0,5,8,5,0,0,0,0,200000,2,0,1,0,0,1,-1,3000000,0,1,50,20,2,10,10,10,10,10,20,0,2,0,0,3,0 ,0,3
1,1,7,0,62,0,1,1,0,0,0,100,0,2,1,2,4,5,1,1,1,0,0,72000,5,0,1,1,0,1,0,30000,0,0,80,70,80,80,80,80,70,90,60,0,1,0,0,1,0 ,0,1
1,1,7,0,74,0,1,1,40000,1,2,70,1,1,1,2,5,6,2,1,1,1,0,70000,2,0,1,0,0,1,0,6,1,1,90,90,60,80,70,80,80,80,60,40000,1,0,2,3,0 ,0,3
0,1,7,1,34,1,1,1,0,0,0,60,1,1,1,3,4,7,2,1,1,0,0,80000,3,-1,1,0,0,1,-1,80000,1,1,70,70,60,70,60,70,70,70,70,80000,2,0,0,1,0 ,0,1
0,1,7,0,42,0,0,1,80000,0,0,40,1,3,1,2,4,6,7,1,1,1,0,80000,2,-1,1,1,0,1,0,200000,1,0,50,50,30,50,60,60,70,70,70,0,1,0,0,4,0 ,0,0
0,1,7,1,37,0,1,1,30000,0,0,70,1,1,1,2,4,7,5,1,1,0,0,50000,6,-1,2,1,0,1,0,70000,1,1,90,100,90,90,80,80,80,90,80,50000,1,0,2,3,0 ,0,0
0,1,7,1,42,0,1,1,30000,0,0,92,1,2,1,2,7,8,4,0,0,1,1,80000,4,0,2,1,0,1,0,200000,1,1,70,80,90,80,90,90,70,80,70,50000,1,0,0,1,0 ,0,1
0,1,7,0,63,0,1,1,50000,0,0,50,0,2,1,0,5,5,5,1,1,0,0,100000,2,0,2,1,0,1,0,60000,1,1,100,100,100,100,100,100,100,100,100,40000,1,0,0,3,0 ,0,3
0,1,7,1,24,0,1,1,20000,0,0,15,1,2,1,2,2,4,1,0,0,0,0,20000,2,-2,0,0,0,1,-1,100000,0,0,90,70,30,30,30,10,90,90,90,0,1,0,0,3,0 ,0,0
0,1,7,1,61,0,1,2,0,1,0,35,1,1,1,2,2,2,2,1,1,0,0,30000,2,-2,1,0,0,1,-1,60000,1,0,90,90,90,90,80,80,90,90,90,10000,1,0,2,3,0 ,0,3
1,1,7,0,89,0,1,2,0,0,0,70,0,0,1,2,10,10,5,0,1,0,0,150000,3,1,1,0,0,1,1,150000,1,1,90,85,70,70,70,80,80,85,90,0,1,0,0,1,0 ,0,1
1,1,7,0,32,0,1,2,60000,1,0,6,1,3,1,2,7,8,5,1,1,0,0,130000,2,1,2,1,0,1,0,150000,0,1,95,80,80,80,70,75,80,90,90,30000,1,0,0,3,0 ,0,3
0,1,7,1,30,0,1,2,100000,1,2,90,1,3,1,2,7,8,5,1,1,0,0,300000,4,1,1,1,0,1,1,150000,1,1,80,80,80,80,80,80,80,80,80,100000,3,0,0,4,0 ,0,3
1,0,7,0,37,0,1,1,0,0,0,15,0,1,1,1,1,2,1,1,1,0,0,24000,3,-2,2,0,0,1,-1,100000,0,1,90,80,50,100,80,100,50,100,100,24000,1,0,0,1,0 ,0,1
0,1,7,1,54,0,1,1,24000,0,0,60,0,1,0,1,3,2,5,1,1,0,0,80000,2,-1,1,0,0,1,-1,50000,1,1,70,60,60,40,50,60,70,80,80,0,1,0,2,3,0 ,0,0
1,1,7,1,35,0,1,1,20000,0,0,92,1,1,1,2,2,4,3,1,0,1,1,50000,3,-1,1,1,0,1,0,40000,1,1,100,80,80,80,70,70,90,90,90,30000,2,0,0,3,0 ,0,3
1,1,7,0,70,0,1,1,0,1,0,150,0,0,1,2,5,8,5,1,1,0,0,20000,4,0,1,0,0,0,0,10000,1,1,90,90,90,90,90,90,90,90,80,0,1,0,0,1,0 ,0,1
1,1,7,0,68,0,1,1,40000,1,2,41,0,3,1,2,5,6,3,1,1,0,0,80000,2,0,1,0,0,1,-1,80000,0,0,80,60,60,60,80,60,50,60,60,40000,1,0,0,3,0 ,0,0
1,1,7,1,36,0,1,2,70000,0,0,55,1,2,1,2,7,8,5,1,1,0,0,200000,3,1,1,0,0,1,0,100000,0,1,70,65,60,80,80,70,80,80,80,120000,2,0,0,1,0 ,0,1
0,1,7,1,67,0,1,1,0,0,0,86,1,1,1,2,3,8,1,1,0,1,0,70000,4,0,0,0,0,1,-1,12000,1,1,90,90,80,80,70,85,85,70,80,0,1,0,0,1,0 ,0,1
0,1,7,1,58,0,1,1,0,1,0,23,1,4,1,0,7,5,1,1,1,0,0,57000,2,-1,0,1,0,1,0,48000,0,0,60,60,30,30,60,60,40,50,50,0,1,0,2,3,0 ,2,3
0,1,7,1,32,0,1,1,0,0,0,108,1,1,1,1,6,5,5,1,1,1,0,400000,3,1,2,0,0,1,0,400000,1,0,60,50,50,70,50,60,50,50,70,400000,2,0,0,1,0 ,0,0
1,1,7,0,62,1,1,2,50000,0,0,97,1,3,1,4,5,5,5,1,1,0,1,400000,2,0,1,1,0,1,0,60000,1,1,60,70,70,50,70,70,60,60,70,40000,1,0,0,3,0 ,0,3
1,1,7,1,44,1,1,2,96000,1,2,50,1,3,1,1,6,6,6,1,1,1,1,200000,3,-1,1,1,0,1,0,120000,0,0,0,0,60,60,50,60,60,70,70,100000,2,0,2,3,0 ,0,3
0,1,7,0,59,0,1,3,210000,1,2,100,1,1,1,2,6,4,5,1,1,1,0,300000,2,1,1,1,0,1,0,30,0,0,60,60,60,60,70,60,60,60,70,0,2,1,0,3,0 ,0,3
0,1,7,1,76,0,1,1,0,1,0,56,0,0,0,2,1,1,4,1,1,0,0,90000,2,0,1,0,0,1,0,40000,1,1,80,70,70,65,70,60,80,80,70,0,1,0,0,1,0 ,0,1
1,1,7,0,56,1,0,1,29400,1,2,73,0,1,1,2,7,7,3,1,1,0,0,100000,6,0,1,0,0,1,0,60000,1,1,99,80,50,60,70,80,75,80,90,30000,1,0,0,3,0 ,0,0
0,1,7,1,35,0,0,1,30000,0,0,93,1,2,1,2,8,9,6,1,1,0,0,80000,3,-1,1,0,0,1,-1,50000,1,1,90,90,80,80,80,80,80,80,70,50000,2,0,0,5,0 ,0,5
1,1,7,0,30,0,0,1,150000,1,0,5,1,4,1,2,3,5,1,1,1,0,0,200000,9,1,2,0,0,1,1,150000,1,1,100,50,80,100,80,100,100,100,100,0,1,0,2,1,0 ,0,0
0,1,7,1,52,0,0,1,0,1,0,45,1,1,1,2,5,4,6,1,1,0,0,60000,1,-1,1,0,0,-1,-1,60000,1,1,65,0,50,70,60,60,50,70,80,40000,1,0,0,3,0 ,0,3
1,1,7,1,29,0,1,2,30000,0,0,90,1,3,1,1,5,5,5,1,1,0,0,100000,3,0,0,1,0,1,0,50000,1,1,100,80,40,80,50,60,80,90,90,70000,2,0,0,4,0 ,0,0
1,0,7,0,25,0,1,1,40000,0,0,12,1,3,1,2,7,8,4,1,0,1,1,40000,1,0,2,1,0,1,0,100000,1,1,80,60,60,80,50,50,90,90,50,0,1,0,0,3,0 ,0,4
1,1,7,1,29,0,1,2,24000,0,0,130,1,2,1,1,4,6,4,1,1,0,0,50000,5,0,1,1,0,1,-1,120000,1,1,90,90,60,80,60,70,80,70,60,80000,2,0,0,3,0 ,0,3
1,1,7,1,63,0,1,1,40000,0,0,50,1,1,1,1,5,5,5,1,1,1,0,130000,3,0,1,1,0,1,0,100000,1,1,70,60,60,60,60,60,80,80,60,60000,1,0,2,3,0 ,0,3
0,1,7,0,57,0,1,1,0,0,0,90,1,1,1,2,5,5,2,1,0,0,0,24000,2,-1,1,0,0,1,0,12000,1,1,80,80,90,80,80,85,90,90,90,0,1,0,2,2,0 ,0,1
0,1,7,0,25,1,1,2,100000,1,2,70,1,4,1,1,5,5,5,1,1,0,0,200000,2,-1,0,0,0,1,0,300000,1,1,80,80,80,80,80,80,80,80,80,100000,2,0,0,3,0 ,0,3
1,1,7,1,30,1,1,2,49200,0,0,160,1,3,1,0,7,8,9,1,1,0,0,300000,5,0,2,1,0,1,1,100000,1,1,60,60,60,60,60,60,50,70,60,60000,2,1,2,3,1 ,0,3
0,1,7,0,51,0,1,1,20000,0,0,50,1,2,1,1,5,7,3,1,1,0,0,40000,3,0,1,0,0,1,-1,40000,1,0,80,80,60,80,70,80,80,90,80,10000,1,0,2,3,0 ,0,0
1,1,7,0,57,0,1,1,35000,0,0,55.5,1,2,1,2,6,6,3,1,1,0,0,80000,3,0,1,0,0,1,0,60000,1,1,95,95,60,90,80,80,60,80,80,20000,1,0,0,1,0 ,0,1
0,1,7,1,47,0,1,2,75000,1,0,72,1,0,1,2,4,5,4,1,1,0,0,80000,3,0,1,1,0,1,0,120000,1,1,80,60,60,70,50,50,40,50,50,40000,1,1,2,3,0 ,2,3
1,1,7,0,66,0,1,1,0,0,0,137,1,0,1,2,3,1,1,1,1,0,0,46000,3,0,3,0,0,1,0,24000,1,1,80,50,50,50,60,70,80,50,50,0,1,0,0,1,0 ,0,1
1,1,7,0,64,1,1,1,60000,1,2,119,1,2,1,2,5,7,1,1,1,1,1,100000,2,1,4,1,0,1,1,150000,1,0,80,90,50,50,50,60,50,30,20,50000,2,0,0,2,0 ,0,1
1,1,7,0,52,0,1,2,130000,1,2,139,1,3,1,2,5,8,8,1,1,1,0,240000,2,1,1,1,0,1,0,200000,1,1,80,70,70,80,80,60,60,60,80,120000,2,1,0,3,0 ,0,1
1,1,7,0,47,0,1,2,200000,1,2,146,1,1,1,2,6,7,1,1,1,1,0,300000,3,1,1,1,0,1,0,500000,1,1,80,70,60,70,60,80,70,80,60,100000,2,0,0,1,0 ,0,1
1,1,7,1,68,0,1,1,0,0,0,46,0,2,1,2,5,6,6,1,1,0,0,70000,2,-1,1,0,0,1,-1,25000,1,1,80,80,90,50,60,60,80,60,80,0,1,0,0,0,0 ,0,1
1,1,7,1,63,0,1,1,0,0,0,25,0,1,1,2,3,5,2,1,1,0,0,56000,2,0,1,0,0,1,0,43000,1,0,100,100,100,100,100,100,100,100,100,0,1,0,0,3,0 ,0,0
1,1,7,0,60,0,1,1,30000,0,0,67.4,1,2,1,2,5,5,2,1,1,0,0,30000,2,0,1,0,0,1,0,60000,1,1,90,90,50,50,50,50,90,50,50,20000,1,0,2,3,0 ,0,5
0,1,7,1,70,1,0,1,0,0,0,115,0,2,1,3,4,4,2,1,1,0,0,90000,2,0,2,0,0,1,0,50000,1,0,80,80,80,80,80,80,80,80,80,0,2,1,0,0,0 ,0,0
1,1,7,1,86,0,1,1,45000,1,2,120,0,0,1,4,5,5,3,1,1,0,0,948000,3,0,1,0,0,1,0,42000,1,1,80,70,80,70,80,80,80,70,80,52800,2,0,0,3,0 ,0,0
1,1,7,0,50,0,1,1,100000,1,2,91,1,3,1,2,6,6,3,1,1,0,0,100000,4,0,2,1,0,1,0,120000,1,1,60,50,40,50,50,80,80,80,80,0,1,0,0,3,0 ,0,1
0,1,7,1,40,0,1,1,40000,0,0,90,1,3,1,2,5,6,2,1,1,1,1,100000,4,-1,2,1,0,1,0,60000,1,0,90,70,70,70,75,80,90,90,95,40000,1,0,0,1,0 ,0,1
1,1,7,1,72,0,1,2,0,0,0,60,0,0,0,2,1,1,1,1,0,1,0,120000,2,0,1,0,0,1,0,10000,1,1,50,60,60,50,60,60,60,50,60,0,2,1,2,3,0 ,0,3
0,1,7,0,32,0,1,1,25000,0,0,75,1,2,1,2,6,6,5,0,0,0,0,25000,1,-1,0,0,0,1,-1,100000,1,0,70,80,80,80,70,80,80,80,80,0,2,0,0,1,0 ,0,1
0,1,7,0,28,0,0,2,200000,0,0,50,1,2,1,2,6,9,7,0,0,1,0,600000,2,0,1,0,0,1,1,500000,0,0,85,80,70,80,70,70,80,90,80,180000,3,1,2,3,0 ,0,0
1,1,7,1,37,0,1,2,70000,0,0,62.5,1,0,1,1,5,5,5,1,1,0,0,200000,2,0,1,0,0,1,0,130000,1,1,90,80,60,80,80,80,90,60,60,100000,2,0,0,1,0 ,0,1
